,wat.temp,pH,TP,TN,TOC,DOC
S081,18,7.38,7.34,33.81,14.5,12
S082,17,8.02,10.06,39.76,15.5,15.1
S083,17.8,7.4,7.92,36.19,12,9.69
S084,16.8,7.54,6.07,35,11.8,9.47
S085,15.8,7.51,7.13,31.43,11.5,8.99
S086,19.6,7.63,8.63,25.48,12.7,10.1
S087,20.4,7.84,8.66,23.88,11.1,8.09
S088,22.8,7.86,6.91,23.42,11,10.5
S089,22.7,7.43,5.91,20.17,9.3,10.2
S090,23.3,7.52,5.23,16.69,8.2,9.08
S091,25.6,7.58,7.09,21.56,10.6,11.6
S092,26,7.54,6.62,20.63,9.9,8.22
S093,27.2,7.65,4.33,14.84,7.1,4.66
S094,27.7,7.61,4.75,19.47,8.3,6.45
S095,28.4,7.53,5.65,23.65,10.6,11.1
S096,29,7.38,8.15,24.34,11.7,9.65
S097,28.2,7.65,4.62,17.16,7.9,11.1
S098,27.4,7.33,5.3,20.63,10.3,9.75
S099,27.8,7.65,6.89,24.15,10.1,11.5
S100,27.3,7.24,5.86,30.95,11.6,13
S101,23.7,7.54,7.91,30.48,13.8,14.3
S102,21.9,7.34,10.68,34,13.3,12.6
S103,18.7,7.52,10.76,28.14,7.8,7.95
S104,18.6,7.66,8.31,30.25,12.7,12.1
S105,16.1,7.48,8.95,32.83,13.9,14.4
S106,15.2,7.57,7.43,34.94,12.7,13.7
S107,18,7.85,5.8,30.71,12.3,11.4
S108,17,7.37,4.91,32.14,11.4,9.45
S109,17.8,7.37,4.73,33.33,10.3,7.21
S110,16.8,7.57,2.85,31.9,10.1,7.22
S111,15.8,7.25,2.83,29.05,10,6.79
S112,19.6,7.36,4,31.19,12.5,7.53
S113,20.4,7.62,5.68,21.33,11.1,8.26
S114,22.8,7.71,5.74,20.17,10.2,10.9
S115,22.7,7.34,3.16,18.32,8.9,9.07
S116,23.3,7.5,2.81,16,8.6,8.9
S117,25.6,7.45,5.42,20.17,10.8,11.4
S118,26,7.39,5.24,20.17,11.5,10.5
S119,27.2,7.46,4.3,19.47,9.1,7.64
S120,27.7,7.5,3.68,19.01,8.6,11.4
S121,28.4,7.5,5.18,26.2,11.7,11.5
S122,29,7.35,5.08,25.27,11.5,10.4
S123,28.2,7.56,3.8,21.1,10.3,10.7
S124,27.4,7.3,4.94,23.65,11.4,12.7
S125,27.8,7.32,7.39,27.9,10.1,12.7
S126,27.3,7.19,6.44,24.85,11.9,12.7
S127,23.7,7.48,7.01,27.9,13.2,10.9
S128,21.9,7.3,5.95,26.49,11.3,9.94
S129,18.7,7.47,5.2,23.45,8.4,7.92
S130,18.6,7.6,6.9,26.49,11.3,12
S131,16.1,7.53,6.59,29.54,12.4,12.9
S132,15.2,7.52,6.54,22.27,12.3,10.4
